screen_name,tweet_id,reply_date,reply_time,reply,collecting_date,collecting_time
Neilneetaraaj,822521326636126210,2017/1/20,19:9:0,"b'RT @TimesNow: #BREAKING Actor Rajinikanth joins protest, strengthening the protest even more #MakkalMovement https://t.co/1HVkdAMMUe'",2017/1/20,12:7:21
Menmalar,822521324920680448,2017/1/20,19:9:0,b'@TimesNow The President of India should kindly save this nation from the shameful game of judicial mes i.e. is the proposed hasty ordinance.',2017/1/20,12:7:21
DeoDarshanSing1,822521201952260097,2017/1/20,19:8:30,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
IDigvijayPatil,822521151289171968,2017/1/20,19:8:18,b'RT @maheshtapase: #manmohanvaidya spoke the heart of #RSS .I condemn his statement. We will not take his statement lightly. @PTI_News @ANI_\xe2\x80\xa6',2017/1/20,12:7:21
antaressridhar,822521130842030080,2017/1/20,19:8:13,b'@narendramodi @TimesNow @ndtvindia @CNNnews18 @ndtv @IndiaToday Make in US moment for our PM',2017/1/20,12:7:21
parthasarathi7,822521077389627392,2017/1/20,19:8:1,b'RT @TimesNow: Glimpses of Indian Air Force aircraft practicing for Republic Day Parade 2017 flypast at New Delhi https://t.co/4KKJ3nrsKp',2017/1/20,12:7:21
anbuibri,822520971936444416,2017/1/20,19:7:36,"b'RT @TimesNow: Mega #MakkalMovement newsbreak: Jallikattu ordinance gets government nod, it will now be sent to the President for his assent\xe2\x80\xa6'",2017/1/20,12:7:21
CommonMan_hari,822520936905736192,2017/1/20,19:7:27,b'@TimesNow https://t.co/fSOuT3mkp5',2017/1/20,12:7:21
PMahendraboopat,822520912897568770,2017/1/20,19:7:21,b'@TimesNow https://t.co/Sm6XXdDvZY',2017/1/20,12:7:21
IVjGupta,822520857796849664,2017/1/20,19:7:8,b'@timesnow Fake Patients',2017/1/20,12:7:21
IVjGupta,822520750879875072,2017/1/20,19:6:43,"b'@timesnow Many Politicians are Hardened Crimials always find excuses to move to hospital, without any medical chronology'",2017/1/20,12:7:21
wishmeluck100,822520745683275776,2017/1/20,19:6:42,b'\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/Bue80gVZwO',2017/1/20,12:7:21
ketanja71566935,822520694449860608,2017/1/20,19:6:29,"b'RT @politicalSci_: \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\x82\xe0\xa4\x96\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\x96 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x97\xe0\xa4\x8f \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa4\xb0,\n\xe0\xa4\x90 \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\xa4\xe0\xa5\x82 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x81...?\n#ZairaWasim \nhttps://t.co/40yw62mk2c'",2017/1/20,12:7:21
praneshpersist,822520659184156674,2017/1/20,19:6:21,"b'RT @TimesNow: #Watch Khusboo, Actor &amp; Activist questions Animal Welfare Board of India &amp; PETA India.\n#MakkalMovement https://t.co/8XNDPkxsBi'",2017/1/20,12:7:21
tweetramki,822520657556574208,2017/1/20,19:6:21,"b'RT @TimesNow: If people decide that they want to do something, they can get it: Khushboo Actor #MakkalMovement https://t.co/TKegt4rIoQ'",2017/1/20,12:7:21
Songadiya,822520570793246722,2017/1/20,19:6:0,b'RT @AR_Ramadhas: @TimesNow https://t.co/Nu0NLa9Ehd\nSimilar way We need to protect our culture and Ban @PetaIndia',2017/1/20,12:7:21
svadivel2001,822520426832142336,2017/1/20,19:5:26,"b'RT @TimesNow: We respect the culture, tradition &amp; the proud legacy of Tamil people &amp; Tamil Nadu state:Ravi Shankar Prasad,Union Law Min #Ma\xe2\x80\xa6'",2017/1/20,12:7:21
RajeshGuwahati,822520411258765313,2017/1/20,19:5:22,"b""@TimesNow probably fake sickness? Looted poor people's hard earned money""",2017/1/20,12:7:21
chokka83,822520388034838528,2017/1/20,19:5:16,b'RT @TimesNow: Telugu superstar Mahesh Babu comes out strongly in support of jallikattu amid groundswell in Tamil Nadu for conduct of the sp\xe2\x80\xa6',2017/1/20,12:7:21
rajitshah1726,822520367004733440,2017/1/20,19:5:11,b'@baale_gibreel @TimesNow gaylani ki gand mein suvar ka lund',2017/1/20,12:7:21
BBTheorist,822520363036897281,2017/1/20,19:5:10,b'Ye toh hona hi tha... By the way anyone be from WB can tell how big a crook Sudip Bandopadhyaya is! https://t.co/2IpZcLaky3',2017/1/20,12:7:21
0rifice0fRG,822520320766590976,2017/1/20,19:5:0,b'@KonkaniBoy @srividya23 @TimesNow Makes perfect sense to me except the indopak connection.. may be peta can explain that.',2017/1/20,12:7:21
fareez_ahamed,822520315628568577,2017/1/20,19:4:59,"b'RT @annavetticad: Typical. So the politics of #TamilNadu is not ""national politics"" unless a north  India-based party is involved? https://\xe2\x80\xa6'",2017/1/20,12:7:21
Songadiya,822520210611523584,2017/1/20,19:4:34,b'RT @madhanprasangam: @TimesNow @PetaIndia I request your CEO to read this and make logical decisions!! https://t.co/vQN5st7Xmg',2017/1/20,12:7:21
seemantinibose,822520197118623744,2017/1/20,19:4:31,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dSP5VBovJz',2017/1/20,12:7:21
0rifice0fRG,822520173844254720,2017/1/20,19:4:25,b'@KonkaniBoy @srividya23 @TimesNow so? when you ride a bull women burn themself and children get married and well kaveri slows down',2017/1/20,12:7:21
tweetramki,822520148502331392,2017/1/20,19:4:19,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
Songadiya,822520140579282944,2017/1/20,19:4:17,b'RT @sakthidasan45: @TimesNow  Haha https://t.co/oFngiagtCq',2017/1/20,12:7:21
tweetramki,822520105045065728,2017/1/20,19:4:9,"b'RT @TimesNow: Victory goes to the people who protested in support of Jallikattu: Chinmayi Sripada, Singer #MakkalMovement https://t.co/pdwJ\xe2\x80\xa6'",2017/1/20,12:7:21
Songadiya,822520104432726016,2017/1/20,19:4:9,b'RT @imPrabhuS: @TimesNow https://t.co/OwWctVsDK1\n..... and people like PETA speak about ethical treatment of animals. Shame indeed.!! #jall\xe2\x80\xa6',2017/1/20,12:7:21
Unicorn1620,822520102620905473,2017/1/20,19:4:8,b'@TimesNow lol...standard operating protocol.... next start blabbering from hospital bed about victimisation.',2017/1/20,12:7:21
Sharmaroyals,822519989957693440,2017/1/20,19:3:41,"b'RT @TimesNow: RSS supports reservation enshrined in Constitution: Dattatreya Hosabale, Joint General Secretary of the RSS https://t.co/0qOM\xe2\x80\xa6'",2017/1/20,12:7:21
kusum1012,822519984337190912,2017/1/20,19:3:40,"b'RT @TimesNow: There was a hit list created for Kashmiri Pandits, 27 years back: Kapil Razdan\n#HindusKeptOut https://t.co/llLbSJLpoY'",2017/1/20,12:7:21
Gunasek50511471,822519970542354433,2017/1/20,19:3:37,b'@ndtv @PMOIndia @rajnathsingh @rsprasad @arunjaitley @indSupremeCourt @TimesNow @WSJ @newyorktimes110 @Telegraph https://t.co/G1F09qae6e',2017/1/20,12:7:21
BoscoUnchained,822519891609681920,2017/1/20,19:3:18,"b'RT @CarDroidusMax: To cover up the RSS own goal on reservations, what is the best strategy for TimesNow? #UPElection2017 #AntiReservation_B\xe2\x80\xa6'",2017/1/20,12:7:21
kusum1012,822519889877340160,2017/1/20,19:3:18,"b""RT @TimesNow: Ethnic cleansing happened abroad; int'l courts came in, why have they not this time? Maj. Gen. G D Bakshi (Retd.) #HindusKept\xe2\x80\xa6""",2017/1/20,12:7:21
gurudath29,822519884726693889,2017/1/20,19:3:16,"b""RT @iMac_too: When you talk only 'vikas' 24*7*365, ultimately vikas consumes your logical reasoning. cc: @narendramodi https://t.co/6D2Dw3j\xe2\x80\xa6""",2017/1/20,12:7:21
sathes87,822519852904615938,2017/1/20,19:3:9,"b'RT @TimesNow: #WATCH If the Govt can bring an Ordinance in other matters, why not issue one on Jallikattu #JallikattuUprising https://t.co/\xe2\x80\xa6'",2017/1/20,12:7:21
JeSuisSid,822519813280927744,2017/1/20,19:2:59,b'Arrest hote hi kaise ye sab hospitalise ho jaate hai?\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 https://t.co/Ee8g1YJoYg',2017/1/20,12:7:21
f0f0d7eb42fb4e4,822519738861518849,2017/1/20,19:2:42,b'RT @Jallikatu: Is the State Govt Fooling Us ?\n\n#MakkalMovement #JusticeforJallikattu #JallikattuProtests \n\nThis is What Attorney General Sa\xe2\x80\xa6',2017/1/20,12:7:21
abhijitfloyd,822519731907215360,2017/1/20,19:2:40,b'@TimesNow Drama started....Lol',2017/1/20,12:7:21
CarDroidusMax,822519687070306304,2017/1/20,19:2:29,"b'RT @CarDroidusMax: To cover up the RSS own goal on reservations, what is the best strategy for TimesNow? #UPElection2017 #AntiReservation_B\xe2\x80\xa6'",2017/1/20,12:7:21
DrRakeshkr082,822519664374751232,2017/1/20,19:2:24,"b'RT @TimesNow: Arrested Trinamool MP Sudip Bandopadhyaya, who was arrested in connection with Rose Valley chitfund scam, hospitalised in Cut\xe2\x80\xa6'",2017/1/20,12:7:21
IVjGupta,822519645789777920,2017/1/20,19:2:19,"b'@timesnow Politicians always are strong never ill or breathing  problems etc., only till in police custody!'",2017/1/20,12:7:21
svadivel2001,822519603901370379,2017/1/20,19:2:9,"b'RT @TimesNow: Our respect for the Tamil culture is too well known and we are very proud of it: Ravi Shankar Prasad, Union Law Minister #Mak\xe2\x80\xa6'",2017/1/20,12:7:21
srividya23,822519597886644225,2017/1/20,19:2:8,"b'RT @KonkaniBoy: The animal rights woman on @TimesNow is foaming at mouth on #jallikattu. Brought up sati, child marriage, Kaveri issue, Ind\xe2\x80\xa6'",2017/1/20,12:7:21
documaraftab,822519556480581632,2017/1/20,19:1:58,"b'Obama had to prove he was an American, and a practicing Christian. Trump is only expected to be sane \n#timesnow https://t.co/35EiET6bGb'",2017/1/20,12:7:21
pankajtiwari051,822519470723735554,2017/1/20,19:1:38,b'@TimesNow nd the nautanki begins.',2017/1/20,12:7:21
vbalaji202,822519465560645632,2017/1/20,19:1:36,b'@TimesNow Go and save animals going to saulter houses if you are animal lover really.',2017/1/20,12:7:21
k_bhairav,822519460288401408,2017/1/20,19:1:35,"b""RT @ragarwal: Can we remove India's poverty first? https://t.co/7Rajit845Z""",2017/1/20,12:7:21
guptas08,822519436401934337,2017/1/20,19:1:29,b'\xf0\x9f\x98\x82 https://t.co/PtoYFSzUuu',2017/1/20,12:7:21
73rdraisin,822519415640129539,2017/1/20,19:1:25,"b'@timesnow Record his statements before a magistrate, before he kicks the bucket !'",2017/1/20,12:7:21
SarkarChhandak,822519405426987008,2017/1/20,19:1:22,"b'@TimesNow These TMC leaders are very good actors, this is old &amp; proven policy to escape jail or police custody'",2017/1/20,12:7:21
verman11,822519322908225536,2017/1/20,19:1:2,b'@TimesNow  Proud of Tamil Bro &amp; Sis',2017/1/20,12:7:21
vijayjoshi2009,822519219963035648,2017/1/20,19:0:38,b'@timesnow \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa4\x95 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa4\x95 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa4\x95',2017/1/20,12:7:21
VikasAdvocat,822519217970880513,2017/1/20,19:0:37,"b""@TimesNow A.M.Singhvi's stand differs with that of Congress's R.Surjewala who played politics with the emotions of public.""",2017/1/20,12:7:21
aksthiliphan,822519208202227712,2017/1/20,19:0:35,"b'RT @TimesNow: Victory goes to the people who protested in support of Jallikattu: Chinmayi Sripada, Singer #MakkalMovement https://t.co/pdwJ\xe2\x80\xa6'",2017/1/20,12:7:21
snair_in,822519122625896448,2017/1/20,19:0:15,b'RT @hstapanghosh: No. But it is proved that SC is not above our tradition and heritage. Thanks to Tamil Hindus. https://t.co/SqRjU1Byrk',2017/1/20,12:7:21
PriteshShah14,822519110953291776,2017/1/20,19:0:12,b'@TimesNow alright history repeating',2017/1/20,12:7:21
imkRohan,822519094482071554,2017/1/20,19:0:8,"b'RT @TimesNow: RSS supports reservation enshrined in Constitution: Dattatreya Hosabale, Joint General Secretary of the RSS https://t.co/0qOM\xe2\x80\xa6'",2017/1/20,12:7:21
shenoymad,822519064677482496,2017/1/20,19:0:1,b'RT @hstapanghosh: No. But it is proved that SC is not above our tradition and heritage. Thanks to Tamil Hindus. https://t.co/SqRjU1Byrk',2017/1/20,12:7:21
PrakashShruti,822519047103348738,2017/1/20,18:59:57,"b""RT @INCdilse: RSS calling for banning caste based reservations n Modi's privatizatisation of PSUs shld b @INCIndia's main poll issues in po\xe2\x80\xa6""",2017/1/20,12:7:21
INCAseemKP,822519032050028544,2017/1/20,18:59:53,"b""RT @INCdilse: RSS calling for banning caste based reservations n Modi's privatizatisation of PSUs shld b @INCIndia's main poll issues in po\xe2\x80\xa6""",2017/1/20,12:7:21
Bigfish2972,822518955243962368,2017/1/20,18:59:35,b'@TimesNow drama like bhujbal',2017/1/20,12:7:21
Skpj50,822518929646120960,2017/1/20,18:59:29,"b""RT @TimesNow: President Donald Trump's foreign policy to be based on peace through strength: White House #TrumpEra https://t.co/FoWtn9HiSa""",2017/1/20,12:7:21
kpkishore78,822518920909324289,2017/1/20,18:59:27,b'@MRVChennai sir well said on @TimesNow what the point lawyers. Missed arguing for jallikattu..may I have the video',2017/1/20,12:7:21
AnkitaBnsl,822518912218779651,2017/1/20,18:59:24,b'@TimesNow all arrested vip go to hospitals within days. I hope he is well though',2017/1/20,12:7:21
JaiAryawart,822518885555519489,2017/1/20,18:59:18,b'RT @hstapanghosh: No. But it is proved that SC is not above our tradition and heritage. Thanks to Tamil Hindus. https://t.co/SqRjU1Byrk',2017/1/20,12:7:21
JaiAryawart,822518824398364672,2017/1/20,18:59:4,"b'RT @TimesNow: The Supreme Court is irrelevant to the country: Gauri Mulekhi, Activist #MakkalMovement https://t.co/jqkCufTr8q'",2017/1/20,12:7:21
Armaan_m07,822518821634326528,2017/1/20,18:59:3,b'Absolutely right!! \xf0\x9f\x92\xaf https://t.co/ZguYVnw4kW',2017/1/20,12:7:21
ArunbajpaiRajan,822518801258467329,2017/1/20,18:58:58,"b'RT @politicalSci_: \xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\x82\xe0\xa4\x96\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb0\xe0\xa4\x96 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x97\xe0\xa4\x8f \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa4\xb0,\n\xe0\xa4\x90 \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\xa4\xe0\xa5\x82 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x81...?\n#ZairaWasim \nhttps://t.co/40yw62mk2c'",2017/1/20,12:7:21
iarnab_timesnow,822518652566007809,2017/1/20,18:58:23,b'RT @jeetensingh: \xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xb5\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xae\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xac\xe0\xa4\xbe \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xb5\xe0\xa4\xb8\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa5\x80\xe0\xa4\xa0\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa5\x80\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xb0 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xae\xe0\xa4\xa6\xe0\xa4\x9c\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x81 \xe0\xa4\xb6\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xaf \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xac\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa7\xe0\xa4\xa8\xe0\xa4\xae\xe0\xa4\xa0 \xe0\xa4\x86\xe0\xa4\x97\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa5\x81 \xe0\xa4\xa7\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xa6 @Amit\xe2\x80\xa6',2017/1/20,12:7:21
iarnab_timesnow,822518627245006848,2017/1/20,18:58:17,b'RT @jeetensingh: \xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xb5\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xae\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xac\xe0\xa4\xbe \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\xa0\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xb5\xe0\xa4\xb8\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa5\x80\xe0\xa4\xa0\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa5\x80\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xb0 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\xae\xe0\xa4\xa6\xe0\xa4\x9c\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x81 \xe0\xa4\xb6\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xaf \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xac\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa7\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xa0 \xe0\xa4\xaa\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa5\x81 \xe0\xa4\xa7\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa5\xa4\xe2\x80\xa6',2017/1/20,12:7:21
iarnab_timesnow,822518596395941888,2017/1/20,18:58:9,b'RT @jeetensingh: \xe2\x9c\x94Journalist Vs Double handled\xe2\x9c\x96\n\xe0\xa4\x96\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x87 \xe0\xa4\x96\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x87 #\xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe @ArvindKejriwal \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x96\xe0\xa4\xac\xe0\xa4\xb0 \xe0\xa4\xac\xe0\xa4\xa6\xe0\xa4\xb2 \xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa5\xa4 @rohitgandhi_ https://t.co/9npNM4Fool',2017/1/20,12:7:21
aksthiliphan,822518549109321728,2017/1/20,18:57:58,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
SanthoshDhanda1,822518479303704582,2017/1/20,18:57:41,b'@ranjanamukho @TimesNow yes it is important that news',2017/1/20,12:7:21
Geetika_Gaurav,822518453068140544,2017/1/20,18:57:35,b'@balajiyhal@TimesNow stop imposing ur personal views as V S.Indians.V are all Indians. no bias or discrimination.',2017/1/20,12:7:21
bishakha,822518422823051264,2017/1/20,18:57:28,b'RT @BilalAhmedNgp: Undoubtedly RSS-BJP has always been against socially-outcast communities. Inequality within the society is their oxygen\xe2\x80\xa6',2017/1/20,12:7:21
maheshjlakshmii,822518410181382144,2017/1/20,18:57:25,b'RT @SAVE_JALLIKATTU: #WATCH 48 hours on and protesters still at Marina Beach #JusticeforJallikattu \r#SaveOurCultureJALLIKATTU \rhttps://t.co\xe2\x80\xa6',2017/1/20,12:7:21
shanmugam_18,822518340920995841,2017/1/20,18:57:8,"b'RT @CarDroidusMax: To cover up the RSS own goal on reservations, what is the best strategy for TimesNow? #UPElection2017 #AntiReservation_B\xe2\x80\xa6'",2017/1/20,12:7:21
TimesNow,822518218178830336,2017/1/20,18:56:39,"b'Arrested Trinamool MP Sudip Bandopadhyaya, who was arrested in connection with Rose Valley chitfund scam, hospitali\xe2\x80\xa6 https://t.co/GVJZ24eQLK'",2017/1/20,12:7:21
VidhuraParash,822517891207565312,2017/1/20,18:55:21,b'#justiceforjallikatu #jallikattu #pmoindia #SaveJallikattu #saveourculturejalikattu #timesnow #News18India\xe2\x80\xa6 https://t.co/6ezTLdTm3C',2017/1/20,12:7:21
hillol,822517890809085954,2017/1/20,18:55:21,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
mohitsmartlove,822517828238442496,2017/1/20,18:55:6,"b""RT @TimesNow: President Donald Trump's foreign policy to be based on peace through strength: White House #TrumpEra https://t.co/FoWtn9HiSa""",2017/1/20,12:7:21
maheshjlakshmii,822517792385552384,2017/1/20,18:54:58,"b'RT @SAVE_JALLIKATTU: #WATCH Jallikattu is a cultural issue;courts,govt must promise us that it would be restored to its glory:RahulEaswar h\xe2\x80\xa6'",2017/1/20,12:7:21
NivethaArul,822517776497582080,2017/1/20,18:54:54,"b""Hello its not just 1000 f ppl it's lakh.chennai -6L,madurai-2L,coimbtr-4L trichy 2L and in many place @ndtv\xe2\x80\xa6 https://t.co/B9KfeJmPO9""",2017/1/20,12:7:21
husimran,822517761515593728,2017/1/20,18:54:50,"b'RT @rubusmubu: .@TimesNow how is @asadowaisi communal?! If he take Islamic stand than it will be communal, but he talking about plural etho\xe2\x80\xa6'",2017/1/20,12:7:21
Abinashchy,822517756754956290,2017/1/20,18:54:49,b'RT @_SandeepDikshit: @TimesNow Shameless arrogance for a TV channel to even suggest that it can set the agenda in a peoples movement. Illus\xe2\x80\xa6',2017/1/20,12:7:21
mpk300,822517749918400513,2017/1/20,18:54:47,"b'RT @TimesNow: If you help in removing poverty in Pakistan, that country will never be India\xe2\x80\x99s enemy: Baba Ramdev https://t.co/Jj6gaBeNQE'",2017/1/20,12:7:21
sharyk76,822517677554102274,2017/1/20,18:54:30,"b'RT @sanjayuvacha: ""One law for the lion &amp; the Ox is tyranny"" William Blake https://t.co/EObLdvdiHh'",2017/1/20,12:7:21
PoisonOfChoice,822517663415017472,2017/1/20,18:54:27,b'.@TimesNow Gauri Mulekhi presents a petulant activist voice by her churlish &amp; bitter comments.Glad to see their spine broken #MakkalMovement',2017/1/20,12:7:21
tyson263,822517652748910592,2017/1/20,18:54:24,b'RT @AbarnaSRaman: Makkal vellathil thavikkum thanjai maanagaram @PetaIndia @timesofindia @iam_str @IndiaToday @TimesNow @ChennaiTimesTOI @A\xe2\x80\xa6',2017/1/20,12:7:21
vinayakharsh1,822517646990131200,2017/1/20,18:54:23,"b'RT @TimesNow: RSS supports reservation enshrined in Constitution: Dattatreya Hosabale, Joint General Secretary of the RSS https://t.co/0qOM\xe2\x80\xa6'",2017/1/20,12:7:21
itisshreya,822517597954568192,2017/1/20,18:54:11,b'RT @TimesNow: Protester at Marina Beach welcomes approval of ordinance on Jallikattu by Law Ministry. Big boost for the #MakkalMovement htt\xe2\x80\xa6',2017/1/20,12:7:21
mohitsmartlove,822517569890287616,2017/1/20,18:54:4,"b'RT @TimesNow: RSS supports reservation enshrined in Constitution: Dattatreya Hosabale, Joint General Secretary of the RSS https://t.co/0qOM\xe2\x80\xa6'",2017/1/20,12:7:21
_SandeepDikshit,822517544825167873,2017/1/20,18:53:58,b'@TimesNow Shameless arrogance for a TV channel to even suggest that it can set the agenda in a peoples movement. Il\xe2\x80\xa6 https://t.co/BCct6ktRMB',2017/1/20,12:7:21
udhaytweets,822517472490188800,2017/1/20,18:53:41,b'@TimesNow Stop asking about our tradition to actor and actress of Tamilnadu.@cnnbrk @PTTVOnlineNews',2017/1/20,12:7:21
asli_ayush,822517412465475584,2017/1/20,18:53:27,"b'RT @ShefVaidya: Even Vishy Anand bats for #jallikattu, unlike phoney celebs frm Bollywood, who r afraid to embrace their own culture! https\xe2\x80\xa6'",2017/1/20,12:7:21
